***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  1 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  2 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  3 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  4 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  5 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  6 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  7 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  8 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  9 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ; 10 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ; 11 ; NE ;      0.00 ;      0.00 ;    148.80 ;     148.80 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ; 99 ; NE ;      0.00 ;      0.00 ;    144.00 ;    1041.60 ;  -  ;           ;
  1 ;  LEVE ; 54 ;JUIZ DE FORA ;  1 ; SE ;      0.00 ;      0.00 ;     43.94 ;      43.94 ;  L  ;   1076.42 ;
  1 ;  LEVE ; 54 ;JUIZ DE FORA ;  2 ; SE ;      0.00 ;      0.00 ;     43.11 ;      43.11 ;  L  ;   1076.42 ;
  1 ;  LEVE ; 54 ;JUIZ DE FORA ; 99 ; SE ;      0.00 ;      0.00 ;     84.00 ;      87.05 ;  -  ;           ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  1 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  2 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  3 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  4 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  5 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  6 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  7 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  8 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  9 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ; 10 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ; 11 ; NE ;      0.00 ;      0.00 ;    148.80 ;     148.80 ;  L  ;   1244.94 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ; 99 ; NE ;      0.00 ;      0.00 ;    144.00 ;    1041.60 ;  -  ;           ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  1 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  2 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  3 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  4 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  5 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  6 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  7 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  8 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ; 99 ; NE ;      0.00 ;      0.00 ;    142.00 ;     162.96 ;  -  ;           ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  1 ; NE ;      0.00 ;      0.00 ;     52.30 ;      52.30 ;  L  ;    567.76 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  2 ; NE ;      0.00 ;      0.00 ;    104.60 ;     104.60 ;  L  ;    567.76 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  3 ; NE ;      0.00 ;      0.00 ;    156.90 ;     156.90 ;  L  ;    567.76 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  4 ; NE ;      0.00 ;      0.00 ;    209.20 ;     209.20 ;  L  ;    567.76 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ; 99 ; NE ;      0.00 ;      0.00 ;    217.00 ;     523.00 ;  -  ;           ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  1 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  2 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  3 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  4 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  5 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  6 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  7 ; SE ;      0.00 ;      0.00 ;    826.78 ;     826.78 ;  L  ;      0.00 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ; 99 ; SE ;      0.00 ;      0.00 ;    826.00 ;    3136.78 ;  -  ;           ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  1 ; SE ;      0.00 ;      0.00 ;     45.00 ;      45.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  2 ; SE ;      0.00 ;      0.00 ;     90.00 ;      90.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  3 ; SE ;      0.00 ;      0.00 ;    135.00 ;     135.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  4 ; SE ;      0.00 ;      0.00 ;    180.00 ;     180.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  5 ; SE ;      0.00 ;      0.00 ;    225.00 ;     225.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  6 ; SE ;      0.00 ;      0.00 ;    270.00 ;     270.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  7 ; SE ;      0.00 ;      0.00 ;    315.00 ;     315.00 ;  L  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  8 ; SE ;      0.00 ;      0.00 ;      0.00 ;     360.00 ;  D  ;    515.37 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ; 99 ; SE ;      0.00 ;      0.00 ;    315.00 ;    1620.00 ;  -  ;           ;
  1 ;  LEVE ; 63 ;IBIRITE      ;  1 ; SE ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;    750.42 ;
  1 ;  LEVE ; 63 ;IBIRITE      ; 99 ; SE ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  -  ;           ;
  1 ;  LEVE ; 64 ;CANOAS       ;  1 ; S  ;      0.00 ;      0.00 ;    248.57 ;     248.57 ;  L  ;   1224.85 ;
  1 ;  LEVE ; 64 ;CANOAS       ; 99 ; S  ;      0.00 ;      0.00 ;    248.57 ;     248.57 ;  -  ;           ;
  1 ;  LEVE ; 67 ;TERMONE      ;  1 ; NE ;      0.00 ;      0.00 ;     49.95 ;      49.95 ;  L  ;   1089.77 ;
