& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
144  PETROLINA      7    0        0.000  19410  1  0  0          0.
144  PETROLINA      8    0        0.000  19418  1  0  0          0.
146  STA VITORIA    1    0        0.000     97  1  0  0          0.
&Ajuste conforme valores programados
147  PROSPERID. 1   1    0        0.000      0  1  0  0          0.
147  PROSPERID. 1   2    0        0.000      0  1  0  0          0.
147  PROSPERID. 1   3    0        0.000      0  1  0  0          0.
149  SAO SEPE       1    0        0.000     97  1  0  0          0.
151  POTIGUAR       1    0        0.000  19421  0  0  0          0.
151  POTIGUAR       2    0        0.000  19421  0  0  0          0.
151  POTIGUAR       3    0        0.000  19421  0  0  0          0.
151  POTIGUAR       4    0        0.000  19421  0  0  0          0.
152  TERMOCABO      1    0        0.000  19464  0  0  0          0.
152  TERMOCABO      2    0        0.000  19415  0  0  0          0.
152  TERMOCABO      3    0        0.000    239  1  0  0          0.
153  DAIA           1    0        0.000   3960  0  0  0          0.
153  DAIA           2    0        0.000   3960  0  0  0          0.
155  GOIANIA II     1    0        0.000   3960  0  0  0          0.
155  GOIANIA II     2    0        0.000   3960  0  0  0          0.
156  CANDIOTA 3     1    1      300.000   2319  0  0  2        300.
159  TERMOMANAUS    1    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    2    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    3    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    4    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    5    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    6    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    7    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    8    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS    9    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS   10    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS   11    0        0.000  19419  0  0  0          0.
159  TERMOMANAUS   12    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    1    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    2    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    3    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    4    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    5    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    6    0        0.000  19419  0  0  0          0.
160  PAU FERRO I    7    0        0.000  19419  0  0  0          0.
161  POTIGUAR III   1    0        0.000  19421  0  0  0          0.
161  POTIGUAR III   2    0        0.000  19421  0  0  0          0.
161  POTIGUAR III   3    0        0.000  19517  0  0  0          0.
161  POTIGUAR III   4    0        0.000  19925  0  0  0          0.
161  POTIGUAR III   5    0        0.000  19421  0  0  0          0.
161  POTIGUAR III   6    0        0.000  19421  0  0  0          0.
163  P. PECEM II    1    0        0.000    117  1  0  0          0.
164  APOENA         1    0        0.000  19818  1  0  0          0.
164  APOENA         2    0        0.000    289  0  0  0          0.
164  APOENA         3    0        0.000    287  0  0  0          0.
164  APOENA         4    0        0.000    239  0  0  0          0.
164  APOENA         5    0        0.000  19536  0  0  0          0.
164  APOENA         6    0        0.000    336  0  0  0          0.
166  GUARANI        1    0        0.000  19879  0  0  0          0.
166  GUARANI        2    0        0.000  19543  0  0  0          0.
166  GUARANI        3    0        0.000  19154  0  0  0          0.
166  GUARANI        4    0        0.000    239  0  0  0          0.
166  GUARANI        5    0        0.000  19297  0  0  0          0.
166  GUARANI        6    0        0.000  19297  0  0  0          0.
166  GUARANI        7    0        0.000  19297  0  0  0          0.
166  GUARANI        8    0        0.000  19297  0  0  0          0.
166  GUARANI        9    0        0.000  19297  0  0  0          0.
166  GUARANI       10    0        0.000  19297  0  0  0          0.
166  GUARANI       11    0        0.000    336  0  0  0          0.
167  P. PECEM I     1    0        0.000  18906  0  0  0          0.
167  P. PECEM I     2    0        0.000  18906  1  0  0          0.
169  CISFRAMA       1    1        2.000    690  0  0  2          2.
170  SUAPE II       1    0        0.000    283  0  0  0          0.
170  SUAPE II       2    0        0.000  23329  1  0  0          0.
170  SUAPE II       3    0        0.000  19586  0  0  0          0.
170  SUAPE II       4    0        0.000  19297  1  0  0          0.
170  SUAPE II       5    0        0.000  20648  0  0  0          0.
170  SUAPE II       6    0        0.000  19650  0  0  0          0.
170  SUAPE II       7    0        0.000  19864  1  0  0          0.
170  SUAPE II       8    0        0.000  19793  0  0  0          0.
170  SUAPE II       9    0        0.000  19816  1  0  0          0.
170  SUAPE II      10    0        0.000  19585  0  0  0          0.
170  SUAPE II      11    0        0.000  19418  0  0  0          0.
170  SUAPE II      12    0        0.000  19573  1  0  0          0.
170  SUAPE II      13    0        0.000  19433  0  0  0          0.
170  SUAPE II      14    0        0.000  19425  0  0  0          0.
170  SUAPE II      15    0        0.000  19467  0  0  0          0.
170  SUAPE II      16    0        0.000    240  0  0  0          0.
170  SUAPE II      17    0        0.000    336  0  0  0          0.
176  PORTO ITAQUI   1    0        0.000  18908  1  0  0          0.
182  PALMEIRAS GO   1    0        0.000  26310  1  0  0          0.
182  PALMEIRAS GO   2    0        0.000  26358  0  0  0          0.
194  T.NORTE 2      1    0        0.000   3612  0  0  0          0.
194  T.NORTE 2      2    0        0.000   3612  0  0  0          0.
194  T.NORTE 2      3    0        0.000  26790  1  0  0          0.
194  T.NORTE 2      4    0        0.000  26790  0  0  0          0.
194  T.NORTE 2      5    0        0.000  26790  0  0  0          0.
194  T.NORTE 2      6    0        0.000  26790  0  0  0          0.
194  T.NORTE 2      7    0        0.000  26790  0  0  0          0.
&Ajuste conforme valores programados
201  APARECIDA      1    1       43.000     28  0  0  1         75.
201  APARECIDA      2    1       43.000     28  0  0  1         75.
201  APARECIDA      3    1       25.000     10  0  0  1         75.
201  APARECIDA      4    1       40.000     28  0  0  1         75.
&Ajuste conforme disponibilidade declarada
203  C. ROCHA       1    1       17.076    802  0  0  2         68.
203  C. ROCHA       2    1       17.076    312  0  0  2         68.
203  C. ROCHA       3    1       17.076    685  0  0  2         68.
203  C. ROCHA       4    0        0.000    582  0  0  0         68.
203  C. ROCHA       5    0        0.000      0  0  0  2         68.
204  JARAQUI        6    1       29.734   3754  0  0  2         63.
204  JARAQUI        7    1       33.266   3754  0  0  2         63.
205  MANAUARA       1    1       18.350   1491  1  0  2         52.
205  MANAUARA       2    1       17.550   1432  1  0  2         52.
205  MANAUARA       3    1        8.050     20  0  0  2         52.
205  MANAUARA       4    1        8.050   1152  0  0  2         52.
207  PONTA NEGRA    1    1       16.000   1739  0  0  2         64.
207  PONTA NEGRA    2    1       16.000   1739  0  0  2         64.
207  PONTA NEGRA    3    1       16.000   1560  0  0  2         64.
207  PONTA NEGRA    4    1       16.000   1392  0  0  2         64.
209  TAMBAQUI       5    0        0.000   6435  0  0  0         63.
209  TAMBAQUI       6    1       33.266   6442  0  0  2         63.
209  TAMBAQUI       7    1       29.734   6442  0  0  2         63.
211  BAIXADA FLU    1    0        0.000  22124  1  0  0          0.
211  BAIXADA FLU    2    0        0.000  27408  0  0  0          0.
211  BAIXADA FLU    3    0        0.000    115  1  0  0          0.
212  MARANHAO III   1    1      490.000   1898  0  0  2        490.
221  SYKUE I        1    0        0.000  25942  1  0  0          0.
&Ajuste conforme valores programados
223  PROSPERID. 3   1    0        0.000      0  1  0  0          0.
223  PROSPERID. 3   2    0        0.000      0  1  0  0          0.
223  PROSPERID. 3   3    0        0.000      0  1  0  0          0.
223  PROSPERID. 3   4    0        0.000      0  1  0  0          0.
223  PROSPERID. 3   5    0        0.000      0  1  0  0          0.
223  PROSPERID. 3   6    0        0.000      0  1  0  0          0.
224  P. SERGIPE I   1    0        0.000  17232  0  0  0          0.
224  P. SERGIPE I   2    0        0.000  17307  1  0  0          0.
224  P. SERGIPE I   3    0        0.000  32352  0  0  0          0.
224  P. SERGIPE I   4    0        0.000  30902  1  0  0          0.
224  P. SERGIPE I   5    0        0.000  32352  0  0  0          0.
224  P. SERGIPE I   6    0        0.000  31128  1  0  0          0.
224  P. SERGIPE I   7    0        0.000  31092  0  0  0          0.
229  ONCA PINTADA   1    0        0.000   3623  1  0  0          0.
239  PARNAIBA V     1    0        0.000    120  0  0  0          0.
&Ajuste conforme valores programados
241  PROSPERID. 2   1    0        0.000      0  1  0  0          0.
241  PROSPERID. 2   2    0        0.000      0  1  0  0          0.
241  PROSPERID. 2   3    0        0.000      0  1  0  0          0.
241  PROSPERID. 2   4    0        0.000      0  1  0  0          0.
&Ajuste conforme valores programados
245  KARKEY 013     1    0        0.000     79  0  0  0         31.
245  KARKEY 013     2    1       31.000      0  1  0  2         31.
245  KARKEY 013     3    0        0.000   1416  0  0  0         31.
245  KARKEY 013     4    0        0.000    434  1  0  0         31.
245  KARKEY 013     5    0        0.000    432  0  0  0         31.
245  KARKEY 013     6    0        0.000    238  1  0  0         31.
245  KARKEY 013     7    0        0.000    518  0  0  0         31.
245  KARKEY 013     8    0        0.000   5888  0  0  0         31.
245  KARKEY 013     9    0        0.000   7386  0  0  0         31.
245  KARKEY 013    10    0        0.000  10104  0  0  0         31.
245  KARKEY 013    11    0        0.000      0  1  0  0         31.
245  KARKEY 013    12    0        0.000    295  0  0  0         31.
245  KARKEY 013    13    0        0.000   5892  1  0  0         31.
246  KARKEY 019     1    0        0.000    287  0  0  0          0.
246  KARKEY 019     2    0        0.000   4271  1  0  0          0.
246  KARKEY 019     3    0        0.000   6600  0  0  0          0.
246  KARKEY 019     4    0        0.000   4270  1  0  0          0.
246  KARKEY 019     5    0        0.000  10200  0  0  0          0.
246  KARKEY 019     6    0        0.000    238  1  0  0          0.
246  KARKEY 019     7    0        0.000   3624  0  0  0          0.
247  LINHARES PCS   1    0        0.000    240  0  0  0          0.
248  PAULINIA       1    1       15.000    469  0  0  2         15.
249  PORSUD I       1    0        0.000    287  0  0  0          0.
249  PORSUD I       2    0        0.000  10200  0  0  0          0.
249  PORSUD I       3    0        0.000  10200  0  0  0          0.
249  PORSUD I       4    0        0.000  10200  0  0  0          0.
249  PORSUD I       5    0        0.000  10200  0  0  0          0.
249  PORSUD I       6    0        0.000    239  1  0  0          0.
250  PORSUD II      1    0        0.000    287  0  0  0          0.
250  PORSUD II      2    0        0.000   9600  0  0  0          0.
250  PORSUD II      3    0        0.000   9600  0  0  0          0.
250  PORSUD II      4    0        0.000    239  1  0  0          0.
250  PORSUD II      5    0        0.000   9600  0  0  0          0.
251  POVOACAO 1     1    0        0.000    240  0  0  0          0.
251  POVOACAO 1     2    0        0.000    240  0  0  0          0.
253  VIANA 1        1    0        0.000    240  0  0  0          0.
253  VIANA 1        2    0        0.000    240  0  0  0          0.
253  VIANA 1        3    0        0.000    240  0  0  0          0.
253  VIANA 1        4    0        0.000    240  0  0  0          0.
254  B. BONITA I    1    1        4.000      6  0  0  2          4.
334  W ARJONA       1    0        0.000  19864  1  0  0          0.
