***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / subsistema / hora

------;-------;------;-----------;-----------;
 IPER ;  Pat  ; SIST ;   Cmarg   ;PI_Demanda ;
------;-------;------;-----------;-----------;
   48 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   48 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   48 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   48 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   48 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   49 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   49 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   49 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   49 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   49 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   50 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   50 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   50 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   50 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   50 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   51 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   51 ;PESADA ; S    ;      0.00 ;      0.00 ;
   51 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   51 ;PESADA ; N    ;      0.00 ;      0.00 ;
   51 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   52 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   52 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   52 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   52 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   52 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   53 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   53 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   53 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   53 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   53 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   54 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   54 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   54 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   54 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   54 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   55 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   55 ;PESADA ; S    ;      0.00 ;      0.00 ;
   55 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   55 ;PESADA ; N    ;      0.00 ;      0.00 ;
   55 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   56 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   56 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   56 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   56 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   56 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
------;-------;------;-----------;-----------;
